Date,Open,High,Low,Close,Volume,Day,200_sma,100_sma,50_sma,20_sma,9_ema,Trend,Close_9_ema_crossover,Close_9_ema_crossover_price,9_ema_20_sma_crossover,9_ema_20_sma_crossover_price,buy,sell,exit,sl,tp
02/10/2022 23:00,6841,6873,6781,6795,310,Sun,,,,,6795,nan,nan,nan,nan,nan,,,,,
02/10/2022 23:15,6796,6804,6778,6787,163,Sun,,,,,6793.4,nan,nan,nan,nan,nan,,,,,
02/10/2022 23:30,6792,6797,6778,6786,27,Sun,,,,,6791.92,nan,nan,nan,nan,nan,,,,,
02/10/2022 23:45,6788,6803,6784,6799,35,Sun,,,,,6793.336,nan,BreakUp,6799,nan,nan,,,,,
03/10/2022 00:00,6798,6799,6789,6790,22,Mon,,,,,6792.6688,nan,BreakDown,6790,nan,nan,,,,,
03/10/2022 00:15,6791,6799,6784,6796,58,Mon,,,,,6793.33504,nan,BreakUp,6796,nan,nan,,,,,
03/10/2022 00:30,6798,6801,6778,6779,41,Mon,,,,,6790.468032,nan,BreakDown,6779,nan,nan,,,,,
03/10/2022 00:45,6781,6794,6780,6791,38,Mon,,,,,6790.574426,nan,BreakUp,6791,nan,nan,,,,,
03/10/2022 01:00,6792,6793,6777,6778,102,Mon,,,,,6788.05954,nan,BreakDown,6778,nan,nan,,,,,
03/10/2022 01:15,6777,6780,6776,6778,8,Mon,,,,,6786.047632,nan,nan,nan,nan,nan,,,,,
03/10/2022 01:30,6777,6785,6763,6763,46,Mon,,,,,6781.438106,nan,nan,nan,nan,nan,,,,,
03/10/2022 01:45,6765,6766,6705,6717,168,Mon,,,,,6768.550485,nan,nan,nan,nan,nan,,,,,
03/10/2022 02:00,6715,6725,6687,6722,67,Mon,,,,,6759.240388,nan,nan,nan,nan,nan,,,,,
03/10/2022 02:15,6723,6723,6695,6703,78,Mon,,,,,6747.99231,nan,nan,nan,nan,nan,,,,,
03/10/2022 02:30,6705,6725,6704,6710,42,Mon,,,,,6740.393848,nan,nan,nan,nan,nan,,,,,
03/10/2022 02:45,6708,6721,6707,6719,62,Mon,,,,,6736.115079,nan,nan,nan,nan,nan,,,,,
03/10/2022 03:00,6716,6717,6701,6716,79,Mon,,,,,6732.092063,nan,nan,nan,nan,nan,,,,,
03/10/2022 03:15,6721,6724,6710,6720,54,Mon,,,,,6729.67365,nan,nan,nan,nan,nan,,,,,
03/10/2022 03:30,6719,6721,6708,6721,26,Mon,,,,,6727.93892,nan,nan,nan,nan,nan,,,,,
03/10/2022 03:45,6719,6725,6706,6707,18,Mon,,,,6753.85,6723.751136,nan,nan,nan,nan,nan,,,,,
03/10/2022 04:00,6709,6713,6704,6710,26,Mon,,,,6749.6,6721.000909,nan,nan,nan,nan,nan,,,,,
03/10/2022 04:15,6712,6720,6711,6720,17,Mon,,,,6746.25,6720.800727,nan,nan,nan,nan,nan,,,,,
03/10/2022 04:30,6722,6728,6719,6722,23,Mon,,,,6743.05,6721.040582,nan,BreakUp,6722,nan,nan,,,,,
03/10/2022 04:45,6721,6725,6718,6719,18,Mon,,,,6739.05,6720.632465,nan,BreakDown,6719,nan,nan,,,,,
03/10/2022 05:00,6717,6719,6710,6717,41,Mon,,,,6735.4,6719.905972,nan,nan,nan,nan,nan,,,,,
03/10/2022 05:15,6719,6721,6713,6715,12,Mon,,,,6731.35,6718.924778,nan,nan,nan,nan,nan,,,,,
03/10/2022 05:30,6716,6716,6712,6713,7,Mon,,,,6728.05,6717.739822,nan,nan,nan,nan,nan,,,,,
03/10/2022 05:45,6711,6716,6711,6712,15,Mon,,,,6724.1,6716.591858,nan,nan,nan,nan,nan,,,,,
03/10/2022 06:00,6713,6718,6709,6715,23,Mon,,,,6720.95,6716.273486,nan,nan,nan,nan,nan,,,,,
03/10/2022 06:15,6716,6728,6715,6727,27,Mon,,,,6718.4,6718.418789,nan,BreakUp,6727,BreakUp,6718.418789,,,,,
03/10/2022 06:30,6728,6731,6717,6725,52,Mon,,,,6716.5,6719.735031,nan,nan,nan,nan,nan,,,,,
03/10/2022 06:45,6721,6725,6719,6722,29,Mon,,,,6716.75,6720.188025,nan,nan,nan,nan,nan,,,,,
03/10/2022 07:00,6720,6729,6715,6722,52,Mon,,,,6716.75,6720.55042,nan,nan,nan,nan,nan,,,,,
03/10/2022 07:15,6723,6727,6706,6709,34,Mon,,,,6717.05,6718.240336,nan,BreakDown,6709,nan,nan,,,,,
03/10/2022 07:30,6710,6721,6710,6717,21,Mon,,,,6717.4,6717.992269,nan,nan,nan,nan,nan,,,,,
03/10/2022 07:45,6716,6731,6715,6725,51,Mon,,,,6717.7,6719.393815,nan,BreakUp,6725,nan,nan,,,,,
03/10/2022 08:00,6727,6732,6684,6690,182,Mon,,,,6716.4,6713.515052,nan,BreakDown,6690,BreakDown,6713.515052,,,,,
03/10/2022 08:15,6691,6701,6672,6672,107,Mon,,,,6714,6705.212042,nan,nan,nan,nan,nan,,,,,
03/10/2022 08:30,6675,6697,6670,6681,108,Mon,,,,6712,6700.369633,nan,nan,nan,nan,nan,,,,,
03/10/2022 08:45,6685,6716,6684,6715,69,Mon,,,,6712.4,6703.295707,nan,BreakUp,6715,nan,nan,,,,,
03/10/2022 09:00,6716,6726,6706,6725,88,Mon,,,,6713.15,6707.636565,nan,nan,nan,nan,nan,,,,,
03/10/2022 09:15,6728,6789,6726,6788,274,Mon,,,,6716.55,6723.709252,nan,nan,nan,BreakUp,6723.709252,,,,,
03/10/2022 09:30,6786,6786,6758,6766,73,Mon,,,,6718.75,6732.167402,nan,nan,nan,nan,nan,,,,,
03/10/2022 09:45,6765,6773,6739,6742,116,Mon,,,,6719.9,6734.133921,nan,nan,nan,nan,nan,,,,,
03/10/2022 10:00,6741,6750,6723,6724,135,Mon,,,,6720.25,6732.107137,nan,BreakDown,6724,nan,nan,,,,,
03/10/2022 10:15,6727,6727,6671,6707,219,Mon,,,,6719.85,6727.08571,nan,nan,nan,nan,nan,,,,,
03/10/2022 10:30,6706,6713,6686,6687,105,Mon,,,,6718.55,6719.068568,nan,nan,nan,nan,nan,,,,,
03/10/2022 10:45,6690,6705,6679,6700,109,Mon,,,,6717.95,6715.254854,nan,nan,nan,BreakDown,6715.254854,,,,,
03/10/2022 11:00,6699,6701,6671,6677,142,Mon,,,,6716.05,6707.603883,nan,nan,nan,nan,nan,,,,,
03/10/2022 11:15,6678,6696,6674,6677,97,Mon,,,6730.36,6713.55,6701.483107,nan,nan,nan,nan,nan,,,,,
03/10/2022 11:30,6676,6681,6604,6610,239,Mon,,,6726.66,6707.8,6683.186485,nan,nan,nan,nan,nan,,,,,
03/10/2022 11:45,6609,6637,6586,6633,304,Mon,,,6723.58,6703.35,6673.149188,nan,nan,nan,nan,nan,,,,,
03/10/2022 12:00,6632,6648,6614,6616,239,Mon,,,6720.18,6698.05,6661.719351,nan,nan,nan,nan,nan,,,,,
03/10/2022 12:15,6619,6642,6594,6626,307,Mon,,,6716.72,6693.9,6654.575481,nan,nan,nan,nan,nan,,,,,
03/10/2022 12:30,6625,6645,6610,6612,238,Mon,,,6713.16,6688.65,6646.060384,nan,nan,nan,nan,nan,,,,,
03/10/2022 12:45,6615,6629,6573,6580,623,Mon,,,6708.84,6681.4,6632.848308,nan,nan,nan,nan,nan,,,,,
03/10/2022 13:00,6584,6632,6559,6612,1013,Mon,,,6705.5,6677.5,6628.678646,nan,nan,nan,nan,nan,,,,,
03/10/2022 13:15,6613,6613,6529,6541,800,Mon,,,6700.5,6670.95,6611.142917,nan,nan,nan,nan,nan,,,,,
03/10/2022 13:30,6539,6606,6538,6586,626,Mon,,,6696.66,6666.2,6606.114333,nan,nan,nan,nan,nan,,,,,
03/10/2022 13:45,6588,6592,6482,6485,1825,Mon,,,6690.8,6654.7,6581.891467,nan,nan,nan,nan,nan,,,,,
03/10/2022 14:00,6487,6579,6438,6520,2890,Mon,,,6685.94,6644.45,6569.513173,nan,nan,nan,nan,nan,,,,,
03/10/2022 14:15,6525,6542,6457,6530,1957,Mon,,,6682.2,6631.55,6561.610539,nan,nan,nan,nan,nan,,,,,
03/10/2022 14:30,6531,6554,6503,6539,2024,Mon,,,6678.54,6620.2,6557.088431,nan,nan,nan,nan,nan,,,,,
03/10/2022 14:45,6540,6542,6485,6512,1731,Mon,,,6674.72,6608.7,6548.070745,nan,nan,nan,nan,nan,,,,,
03/10/2022 15:00,6509,6510,6366,6379,3373,Mon,,,6668.1,6591.45,6514.256596,nan,nan,nan,nan,nan,,,,,
03/10/2022 15:15,6380,6454,6369,6441,1943,Mon,,,6662.54,6578.15,6499.605277,nan,nan,nan,nan,nan,,,,,
03/10/2022 15:30,6438,6448,6413,6443,1425,Mon,,,6657.08,6565.95,6488.284221,nan,nan,nan,nan,nan,,,,,
03/10/2022 15:45,6441,6480,6420,6430,1271,Mon,,,6651.28,6552.45,6476.627377,nan,nan,nan,nan,nan,,,,,
03/10/2022 16:00,6431,6470,6403,6457,1276,Mon,,,6646,6541.45,6472.701902,nan,nan,nan,nan,nan,,,,,
03/10/2022 16:15,6456,6465,6399,6416,1464,Mon,,,6640.18,6528.4,6461.361521,nan,nan,nan,nan,nan,,,,,
03/10/2022 16:30,6417,6446,6401,6430,1044,Mon,,,6634.58,6519.4,6455.089217,nan,nan,nan,nan,nan,,,,,
03/10/2022 16:45,6429,6442,6400,6427,853,Mon,,,6628.72,6509.1,6449.471374,nan,nan,nan,nan,nan,,,,,
03/10/2022 17:00,6426,6455,6416,6445,904,Mon,,,6623.18,6500.55,6448.577099,nan,nan,nan,nan,nan,,,,,
03/10/2022 17:15,6446,6517,6426,6487,1862,Mon,,,6618.54,6493.6,6456.261679,nan,BreakUp,6487,nan,nan,,,,,
03/10/2022 17:30,6485,6517,6470,6496,860,Mon,,,6614.12,6487.8,6464.209343,nan,nan,nan,nan,nan,,,,,
03/10/2022 17:45,6495,6525,6469,6495,988,Mon,,,6609.72,6483.55,6470.367475,nan,nan,nan,nan,nan,,,,,
03/10/2022 18:00,6494,6528,6452,6468,1203,Mon,,,6604.82,6476.35,6469.89398,nan,BreakDown,6468,nan,nan,,,,,
03/10/2022 18:15,6467,6474,6433,6463,1055,Mon,,,6599.84,6472.45,6468.515184,nan,nan,nan,nan,nan,,,,,
03/10/2022 18:30,6466,6500,6465,6498,775,Mon,,,6595.5,6468.05,6474.412147,nan,BreakUp,6498,BreakUp,6474.412147,,,,,
03/10/2022 18:45,6497,6536,6487,6526,1146,Mon,,,6591.48,6470.1,6484.729718,nan,nan,nan,nan,nan,,,,,
03/10/2022 19:00,6528,6532,6456,6507,1488,Mon,,,6587.12,6469.45,6489.183774,nan,nan,nan,nan,nan,,,,,
03/10/2022 19:15,6508,6549,6485,6541,3219,Mon,,,6583.5,6470,6499.547019,nan,nan,nan,nan,nan,,,,,
03/10/2022 19:30,6543,6606,6531,6603,1460,Mon,,,6581.12,6473.2,6520.237615,nan,nan,nan,nan,nan,,,,,
03/10/2022 19:45,6602,6604,6564,6568,542,Mon,,,6578.3,6476,6529.790092,nan,nan,nan,nan,nan,,,,,
03/10/2022 20:00,6566,6598,6553,6588,322,Mon,,,6575.72,6486.45,6541.432074,nan,nan,nan,nan,nan,,,,,
03/10/2022 20:15,6589,6590,6547,6554,369,Mon,,,6572.3,6492.1,6543.945659,nan,nan,nan,nan,nan,,,,,
03/10/2022 20:30,6552,6589,6552,6574,199,Mon,,,6569.98,6498.65,6549.956527,nan,nan,nan,nan,nan,,,,,
03/10/2022 20:45,6576,6607,6573,6594,330,Mon,,,6568.42,6506.85,6558.765222,nan,nan,nan,nan,nan,,,,,
03/10/2022 21:00,6595,6612,6595,6597,220,Mon,,,6566.74,6513.85,6566.412177,nan,nan,nan,nan,nan,,,,,
03/10/2022 21:15,6593,6630,6587,6622,233,Mon,,,6564.88,6524.15,6577.529742,nan,nan,nan,nan,nan,,,,,
03/10/2022 21:30,6623,6627,6605,6608,135,Mon,,,6562.54,6533.05,6583.623794,nan,nan,nan,nan,nan,,,,,
03/10/2022 21:45,6606,6608,6565,6575,246,Mon,,,6558.28,6540.45,6581.899035,nan,BreakDown,6575,nan,nan,,,,,
03/10/2022 23:00,6592,6596,6574,6575,102,Mon,,,6554.46,6546.95,6580.519228,nan,nan,nan,nan,nan,,,,,
03/10/2022 23:15,6574,6577,6567,6571,34,Mon,,,6551.04,6551.15,6578.615382,nan,nan,nan,nan,nan,,,,,
03/10/2022 23:30,6570,6577,6567,6567,17,Mon,,,6547.9,6554.7,6576.292306,nan,nan,nan,nan,nan,,,,,
03/10/2022 23:45,6566,6575,6564,6571,17,Mon,,,6545.18,6558.5,6575.233845,nan,nan,nan,nan,nan,,,,,
04/10/2022 00:00,6572,6577,6570,6577,27,Tue,,,6542.98,6563.95,6575.587076,nan,BreakUp,6577,nan,nan,,,,,
04/10/2022 00:15,6574,6577,6572,6574,22,Tue,,,6540.46,6569.5,6575.269661,nan,BreakDown,6574,nan,nan,,,,,
04/10/2022 00:30,6572,6589,6571,6588,56,Tue,,,6538.68,6574,6577.815728,nan,BreakUp,6588,nan,nan,,,,,
04/10/2022 00:45,6590,6591,6563,6572,36,Tue,,6633.47,6536.58,6576.3,6576.652583,nan,BreakDown,6572,nan,nan,,,,,
04/10/2022 01:00,6571,6600,6570,6598,111,Tue,,6631.5,6536.34,6580.85,6580.922066,nan,BreakUp,6598,nan,nan,,,,,
04/10/2022 01:15,6595,6612,6579,6595,186,Tue,,6629.58,6535.58,6583.55,6583.737653,nan,nan,nan,nan,nan,,,,,
04/10/2022 01:30,6594,6596,6587,6590,53,Tue,,6627.62,6535.06,6582.9,6584.990122,nan,nan,nan,nan,nan,,,,,
04/10/2022 01:45,6593,6597,6588,6592,23,Tue,,6625.55,6534.38,6584.1,6586.392098,nan,nan,nan,nan,nan,,,,,
04/10/2022 02:00,6591,6592,6570,6581,162,Tue,,6623.46,6533.76,6583.75,6585.313678,nan,BreakDown,6581,nan,nan,,,,,
04/10/2022 02:15,6580,6589,6577,6579,38,Tue,,6621.29,6533.74,6585,6584.050943,nan,nan,nan,BreakDown,6584.050943,,,,,
04/10/2022 02:30,6578,6578,6555,6567,63,Tue,,6619.17,6532.84,6584.65,6580.640754,nan,nan,nan,nan,nan,,,,,
04/10/2022 02:45,6563,6571,6557,6570,109,Tue,,6616.96,6533.42,6583.45,6578.512603,nan,nan,nan,nan,nan,,,,,
04/10/2022 03:00,6569,6570,6557,6558,32,Tue,,6614.76,6532.86,6581.5,6574.410083,nan,nan,nan,nan,nan,,,,,
04/10/2022 03:15,6559,6568,6558,6565,42,Tue,,6612.63,6534.46,6578.65,6572.528066,nan,nan,nan,nan,nan,,,,,
04/10/2022 03:30,6564,6565,6537,6537,121,Tue,,6610.37,6534.8,6575.1,6565.422453,nan,nan,nan,nan,nan,,,,,
04/10/2022 03:45,6536,6545,6535,6538,118,Tue,,6608.58,6534.96,6573.25,6559.937962,nan,nan,nan,nan,nan,,,,,
04/10/2022 04:00,6539,6541,6529,6532,68,Tue,,6606.68,6534.82,6571.1,6554.35037,nan,nan,nan,nan,nan,,,,,
04/10/2022 04:15,6531,6554,6531,6545,105,Tue,,6605.1,6535.48,6569.8,6552.480296,nan,nan,nan,nan,nan,,,,,
04/10/2022 04:30,6546,6553,6546,6546,66,Tue,,6603.46,6538.82,6568.75,6551.184237,nan,nan,nan,nan,nan,,,,,
04/10/2022 04:45,6548,6553,6540,6546,58,Tue,,6601.73,6540.92,6567.5,6550.147389,nan,nan,nan,nan,nan,,,,,
04/10/2022 05:00,6548,6556,6543,6551,20,Tue,,6600.08,6543.08,6566.2,6550.317911,nan,BreakUp,6551,nan,nan,,,,,
04/10/2022 05:15,6553,6554,6543,6545,13,Tue,,6598.33,6545.38,6564.75,6549.254329,nan,BreakDown,6545,nan,nan,,,,,
04/10/2022 05:30,6546,6563,6544,6555,49,Tue,,6596.67,6547.34,6563.1,6550.403463,nan,BreakUp,6555,nan,nan,,,,,
04/10/2022 05:45,6558,6567,6555,6566,23,Tue,,6595.26,6550.34,6562.8,6553.522771,nan,nan,nan,nan,nan,,,,,
