,bid,bid,bid,bid,ask,ask,ask,ask,last,last,last,last,last
,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close,Volume
DateTime,,,,,,,,,,,,,
2022-02-18 00:00:00,4497.0,4499.0,4410.0,4425.0,4500.0,4502.0,4413.0,4428.0,,,,,1203
2022-02-18 04:00:00,4426.0,4428.0,4319.0,4411.0,4429.0,4431.0,4322.0,4414.0,,,,,2153
2022-02-18 08:00:00,4412.0,4431.0,4361.0,4401.0,4415.0,4434.0,4364.0,4404.0,,,,,1492
2022-02-18 12:00:00,4402.0,4595.0,4401.0,4514.0,4405.0,4598.0,4404.0,4517.0,,,,,13994
2022-02-18 16:00:00,4516.0,4572.0,4362.0,4372.0,4519.0,4575.0,4365.0,4375.0,,,,,16286
2022-02-18 20:00:00,4371.0,4415.0,4371.0,4397.0,4374.0,4418.0,4374.0,4400.0,,,,,2098
2022-02-20 20:00:00,4515.0,4606.0,4496.0,4589.0,4518.0,4609.0,4499.0,4592.0,,,,,1311
2022-02-21 00:00:00,4590.0,4615.0,4558.0,4590.0,4593.0,4618.0,4561.0,4593.0,,,,,1250
2022-02-21 04:00:00,4589.0,4597.0,4527.0,4550.0,4592.0,4600.0,4530.0,4553.0,,,,,1037
2022-02-21 08:00:00,4551.0,4605.0,4540.0,4577.0,4554.0,4608.0,4543.0,4580.0,,,,,1800
2022-02-21 12:00:00,4578.0,4753.0,4574.0,4667.0,4581.0,4756.0,4577.0,4670.0,,,,,3283
2022-02-21 16:00:00,4665.0,4701.0,4629.0,4664.0,4668.0,4704.0,4632.0,4667.0,,,,,1854
2022-02-21 20:00:00,4674.0,4736.0,4673.0,4712.0,4679.0,4739.0,4676.0,4715.0,,,,,397
2022-02-22 00:00:00,4720.0,4720.0,4659.0,4708.0,4723.0,4723.0,4662.0,4711.0,,,,,49368
2022-02-22 04:00:00,4707.0,4707.0,4477.0,4548.0,4710.0,4710.0,4480.0,4551.0,,,,,3353
2022-02-22 08:00:00,4547.0,4547.0,4443.0,4524.0,4550.0,4550.0,4446.0,4527.0,,,,,4944
2022-02-22 12:00:00,4525.0,4590.0,4457.0,4569.0,4528.0,4593.0,4460.0,4572.0,,,,,17011
2022-02-22 16:00:00,4571.0,4571.0,4410.0,4464.0,4574.0,4574.0,4413.0,4467.0,,,,,18263
2022-02-22 20:00:00,4465.0,4477.0,4439.0,4474.0,4468.0,4480.0,4442.0,4477.0,,,,,2498
2022-02-23 00:00:00,4473.0,4523.0,4466.0,4513.0,4476.0,4526.0,4469.0,4516.0,,,,,6119
2022-02-23 04:00:00,4512.0,4529.0,4457.0,4469.0,4515.0,4532.0,4460.0,4472.0,,,,,1533
2022-02-23 08:00:00,4470.0,4478.0,4436.0,4467.0,4473.0,4481.0,4439.0,4470.0,,,,,2447
2022-02-23 12:00:00,4466.0,4683.0,4457.0,4643.0,4469.0,4686.0,4460.0,4646.0,,,,,18170
2022-02-23 16:00:00,4644.0,4665.0,4533.0,4559.0,4647.0,4668.0,4536.0,4562.0,,,,,100521
2022-02-23 20:00:00,4560.0,4631.0,4548.0,4623.0,4563.0,4634.0,4551.0,4626.0,,,,,2952
2022-02-24 00:00:00,4624.0,4758.0,4608.0,4727.0,4627.0,4761.0,4611.0,4730.0,,,,,3323
2022-02-24 04:00:00,4728.0,4898.0,4725.0,4881.0,4731.0,4901.0,4728.0,4884.0,,,,,7127
2022-02-24 08:00:00,4877.0,4913.0,4734.0,4797.0,4880.0,4916.0,4737.0,4800.0,,,,,6654
2022-02-24 12:00:00,4798.0,4936.0,4709.0,4841.0,4801.0,4939.0,4712.0,4844.0,,,,,30518
2022-02-24 16:00:00,4840.0,4891.0,4593.0,4643.0,4843.0,4894.0,4596.0,4646.0,,,,,32976
2022-02-24 20:00:00,4642.0,4654.0,4556.0,4618.0,4645.0,4657.0,4559.0,4621.0,,,,,3956
2022-02-25 00:00:00,4619.0,4697.0,4610.0,4692.0,4622.0,4700.0,4613.0,4695.0,,,,,1938
2022-02-25 04:00:00,4693.0,4706.0,4562.0,4590.0,4696.0,4709.0,4565.0,4593.0,,,,,1894
2022-02-25 08:00:00,4589.0,4612.0,4467.0,4538.0,4592.0,4615.0,4470.0,4541.0,,,,,4463
2022-02-25 12:00:00,4540.0,4579.0,4417.0,4444.0,4543.0,4582.0,4420.0,4447.0,,,,,18329
2022-02-25 16:00:00,4443.0,4510.0,4421.0,4502.0,4446.0,4513.0,4424.0,4505.0,,,,,21980
2022-02-25 20:00:00,4503.0,4503.0,4467.0,4479.0,4506.0,4506.0,4470.0,4482.0,,,,,2250
2022-02-27 20:00:00,4657.0,4682.0,4590.0,4607.0,4660.0,4685.0,4593.0,4610.0,,,,,2102
2022-02-28 00:00:00,4606.0,4608.0,4555.0,4604.0,4609.0,4611.0,4558.0,4607.0,,,,,2400
2022-02-28 04:00:00,4603.0,4636.0,4566.0,4589.0,4606.0,4639.0,4569.0,4592.0,,,,,1535
2022-02-28 08:00:00,4590.0,4641.0,4523.0,4563.0,4593.0,4644.0,4526.0,4566.0,,,,,2312
2022-02-28 12:00:00,4564.0,4596.0,4373.0,4426.0,4567.0,4599.0,4376.0,4429.0,,,,,21782
2022-02-28 16:00:00,4428.0,4468.0,4391.0,4416.0,4431.0,4471.0,4394.0,4419.0,,,,,18628
2022-02-28 20:00:00,4417.0,4427.0,4376.0,4398.0,4420.0,4430.0,4379.0,4401.0,,,,,3480
2022-03-01 00:00:00,4396.0,4444.0,4396.0,4430.0,4399.0,4447.0,4399.0,4433.0,,,,,754
2022-03-01 04:00:00,4432.0,4436.0,4343.0,4390.0,4435.0,4439.0,4346.0,4393.0,,,,,930
2022-03-01 08:00:00,4397.0,4552.0,4389.0,4507.0,4400.0,4555.0,4392.0,4510.0,,,,,4280
2022-03-01 12:00:00,4508.0,4580.0,4435.0,4571.0,4511.0,4583.0,4438.0,4574.0,,,,,21315
2022-03-01 16:00:00,4574.0,4628.0,4525.0,4541.0,4577.0,4631.0,4528.0,4544.0,,,,,24927
2022-03-01 20:00:00,4542.0,4654.0,4528.0,4648.0,4545.0,4657.0,4531.0,4651.0,,,,,4362
