,bid,bid,bid,bid,ask,ask,ask,ask,last,last,last,last,last
,Open,High,Low,Close,Open,High,Low,Close,Open,High,Low,Close,Volume
DateTime,,,,,,,,,,,,,
2020-02-10 05:00:00,1818.0,1819.0,1774.0,1787.0,1821.0,1822.0,1777.0,1790.0,,,,,152294
2020-02-11 05:00:00,1786.0,1814.0,1769.0,1806.0,1789.0,1817.0,1772.0,1809.0,,,,,126146
2020-02-12 05:00:00,1805.0,1869.0,1805.0,1856.0,1808.0,1872.0,1808.0,1859.0,,,,,140713
2020-02-13 05:00:00,1855.0,1881.0,1832.0,1838.0,1858.0,1884.0,1835.0,1841.0,,,,,128652
2020-02-14 05:00:00,1837.0,1864.0,1815.0,1855.0,1840.0,1867.0,1818.0,1858.0,,,,,103945
2020-02-16 05:00:00,1889.0,1914.0,1880.0,1898.0,1892.0,1917.0,1883.0,1901.0,,,,,8069
2020-02-17 05:00:00,1897.0,1942.0,1896.0,1929.0,1900.0,1945.0,1899.0,1932.0,,,,,42063
2020-02-18 05:00:00,1928.0,1974.0,1926.0,1956.0,1931.0,1977.0,1929.0,1959.0,,,,,123307
2020-02-19 05:00:00,1954.0,1976.0,1944.0,1964.0,1957.0,1979.0,1947.0,1967.0,,,,,125985
2020-02-20 05:00:00,1965.0,2023.0,1894.0,1911.0,1968.0,2026.0,1897.0,1914.0,,,,,142224
2020-02-21 05:00:00,1910.0,1927.0,1871.0,1912.0,1913.0,1930.0,1874.0,1915.0,,,,,82538
2020-02-23 05:00:00,1888.0,1889.0,1862.0,1866.0,1891.0,1892.0,1865.0,1869.0,,,,,3591
2020-02-24 05:00:00,1865.0,1875.0,1838.0,1859.0,1868.0,1878.0,1841.0,1862.0,,,,,45683
2020-02-25 05:00:00,1860.0,1877.0,1832.0,1848.0,1863.0,1880.0,1835.0,1851.0,,,,,44633
2020-02-26 05:00:00,1846.0,1885.0,1790.0,1790.0,1849.0,1888.0,1793.0,1793.0,,,,,91542
2020-02-27 05:00:00,1785.0,1804.0,1721.0,1726.0,1788.0,1807.0,1724.0,1729.0,,,,,129238
2020-02-28 05:00:00,1725.0,1731.0,1645.0,1704.0,1728.0,1734.0,1648.0,1707.0,,,,,116166
2020-03-01 05:00:00,1691.0,1755.0,1686.0,1743.0,1694.0,1758.0,1689.0,1746.0,,,,,8931
2020-03-02 05:00:00,1742.0,1800.0,1706.0,1781.0,1745.0,1803.0,1709.0,1784.0,,,,,107345
2020-03-03 05:00:00,1780.0,1846.0,1763.0,1818.0,1783.0,1849.0,1766.0,1821.0,,,,,109635
2020-03-04 05:00:00,1819.0,1852.0,1793.0,1838.0,1822.0,1855.0,1796.0,1841.0,,,,,75126
2020-03-05 05:00:00,1837.0,1856.0,1744.0,1749.0,1840.0,1859.0,1747.0,1752.0,,,,,84206
2020-03-06 05:00:00,1748.0,1773.0,1717.0,1742.0,1751.0,1776.0,1720.0,1745.0,,,,,103258
2020-03-08 05:00:00,1686.0,1687.0,1629.0,1632.0,1689.0,1690.0,1632.0,1635.0,,,,,13834
2020-03-09 04:00:00,1631.0,1871.0,1629.0,1822.0,1634.0,1874.0,1632.0,1825.0,,,,,148437
2020-03-10 04:00:00,1821.0,1976.0,1819.0,1952.0,1824.0,1979.0,1822.0,1955.0,,,,,175026
2020-03-11 04:00:00,1951.0,2019.0,1774.0,1838.0,1954.0,2022.0,1777.0,1841.0,,,,,174446
2020-03-12 04:00:00,1837.0,1900.0,1792.0,1850.0,1840.0,1903.0,1795.0,1853.0,,,,,144933
2020-03-13 04:00:00,1851.0,1968.0,1849.0,1904.0,1854.0,1971.0,1852.0,1907.0,,,,,117203
2020-03-15 04:00:00,1873.0,1873.0,1816.0,1844.0,1876.0,1876.0,1819.0,1847.0,,,,,8995
2020-03-16 04:00:00,1843.0,1873.0,1802.0,1823.0,1846.0,1876.0,1805.0,1826.0,,,,,88414
2020-03-17 04:00:00,1824.0,1846.0,1714.0,1729.0,1827.0,1849.0,1717.0,1732.0,,,,,84476
2020-03-18 04:00:00,1730.0,1735.0,1582.0,1644.0,1733.0,1738.0,1585.0,1647.0,,,,,117286
2020-03-19 04:00:00,1645.0,1716.0,1638.0,1670.0,1648.0,1719.0,1641.0,1673.0,,,,,106470
2020-03-20 04:00:00,1671.0,1754.0,1631.0,1634.0,1674.0,1757.0,1634.0,1637.0,,,,,85544
2020-03-22 04:00:00,1589.0,1601.0,1577.0,1598.0,1592.0,1604.0,1580.0,1601.0,,,,,6838
2020-03-23 04:00:00,1597.0,1692.0,1591.0,1652.0,1600.0,1695.0,1594.0,1655.0,,,,,76085
2020-03-24 04:00:00,1653.0,1751.0,1649.0,1745.0,1656.0,1754.0,1652.0,1748.0,,,,,48402
2020-03-25 04:00:00,1746.0,1776.0,1682.0,1693.0,1749.0,1779.0,1685.0,1696.0,,,,,27163
2020-03-26 04:00:00,1694.0,1740.0,1670.0,1705.0,1697.0,1743.0,1673.0,1708.0,,,,,30802
2020-03-27 04:00:00,1704.0,1709.0,1649.0,1669.0,1707.0,1712.0,1652.0,1679.0,,,,,5234
2020-03-29 05:00:00,1637.0,1641.0,1622.0,1630.0,1640.0,1644.0,1625.0,1633.0,,,,,0
2020-03-30 05:00:00,1631.0,1737.0,1623.0,1724.0,1634.0,1740.0,1626.0,1727.0,,,,,0
2020-03-31 05:00:00,1726.0,1744.0,1652.0,1664.0,1729.0,1747.0,1655.0,1667.0,,,,,0
2020-04-01 05:00:00,1665.0,1695.0,1601.0,1621.0,1668.0,1698.0,1604.0,1624.0,,,,,0
2020-04-02 05:00:00,1622.0,1646.0,1546.0,1595.0,1625.0,1649.0,1549.0,1598.0,,,,,91075
2020-04-03 05:00:00,1594.0,1684.0,1558.0,1681.0,1597.0,1687.0,1561.0,1684.0,,,,,82413
2020-04-05 05:00:00,1688.0,1692.0,1664.0,1673.0,1691.0,1695.0,1667.0,1676.0,,,,,5625
2020-04-06 05:00:00,1674.0,1833.0,1670.0,1802.0,1677.0,1836.0,1673.0,1805.0,,,,,97613
2020-04-07 05:00:00,1801.0,1948.0,1789.0,1916.0,1804.0,1951.0,1792.0,1919.0,,,,,132380
